eixo_responsavel,nome_responsavel,nome_acao,tipo_acao,data_acao,local_acao,municipio,publico_alvo,impactos_diretos,Tipo da ação.
Educação,,Oficina de Impressão 3D,Oficina,20/09/2024,Locomotiva Hub,São Luís,Estudantes,7,Oficina de Impressão 3D
Educação,,Oficina de Robótica Básica,Oficina,25/09/2024,CE Emésio Dário de Araújo,São Luís,Estudantes,19,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,26/09/2024,Estação Tech Maracanã,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Jogos com Construct,Oficina,26/09/2024,CE Emésio Dário de Araújo,São Luís,Estudantes,20,Oficina de Games
Educação,,Oficina de Jogos com Construct,Oficina,--/09/2024,Estação tech João de Deus,São Luís,Estudantes,6,Oficina de Games
Educação,,Oficina de Robótica Básica,Oficina,27/09/2024,Colégio Militar 2 de Julho Unidade XII (Paço do Lumiar),São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Inova Galera,Imersão,08/10/2024,CEM Professor Luiz Alves Ferreira (Liberdade),São Luís,Estudantes,100,Imersão
Educação,,Oficina de Robótica - SNCT 24,Oficina,16/10/2024,Convento das Mêrces - SNCT,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Game - SNCT 24,Oficina,17/10/2024,Convento das Mêrces - SNCT,São Luís,Estudantes,20,Oficina de Games
Educação,,Oficina de Robótica,Oficina,01/11/2024,CEM Professor Luiz Alves Ferreira (Liberdade),São Luís,Estudantes,25,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Introdução a modelagem e impressão 3D,Oficina,21/01/2025,Locomotiva HUB,São Luís,Público Geral,21,Oficina de Impressão 3D
Educação,,Oficina de Introdução a modelagem e impressão 3D,Oficina,24/01/2025,Locomotiva HUB,São Luís,Público Geral,13,Oficina de Impressão 3D
Educação,,Oficina de Robótica - Marias da TECH,Oficina,11/02/2025,IEMA TAMANCÃO,São Luís,Estudantes,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Robótica Maker de Carnaval,Oficina,18/02/2025,Locomotiva HUB,São Luís,Público Geral,20,Robótica Maker
Educação,,Robótica Maker de Carnaval,Oficina,18/02/2025,Locomotiva HUB,São Luís,Público Geral,20,Robótica Maker
Educação,,Curso de letramento e inclusão digital,Oficina,24/02/2025,Itapecuru - açao com Insposuma,Itapecuru Mirim,Público Geral,30,Oficina de Informática Básica
Educação,,Curso de letramento e inclusão digital,Oficina,25/02/2025,Itapecuru - açao com Insposuma,Itapecuru Mirim,Público Geral,--,Oficina de Robótica (Básica e/ou Avançado
Educação,,Curso de letramento e inclusão digital,Oficina,26/02/2025,Locomotiva HUB,Itapecuru Mirim,Público Geral,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica,Oficina,17/03/2025,Unibalsas - Balsas Summit 2025,Balsas,Público Geral,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,18/03/2025,Unibalsas - Balsas Summit 2025,Balsas,Público Geral,25,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,19/03/2025,Locomotiva HUB,São Luís,Público Geral,17,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,20/03/2025,Locomotiva HUB,São Luís,Público Geral,17,Oficina de Robótica (Básica e/ou Avançado
Educação,,Robótica Maker de Carnaval,Oficina,21/03/2025,Locomotiva HUB,São Luís,Público Geral,8,Robótica Maker
Educação,,Oficina de Robótica,Oficina,26/03/2025,Centro Educa Mais joão Batista de Carvalho,Santa Rita,Estudantes,22,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,26/03/2025,Centro Educa Mais joão Batista de Carvalho,Santa Rita,Estudantes,23,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de desenvolvimento de Games - Turma 02,Oficina,04/04/2025,Locomotiva Hub,São Luís,Público Geral,22,Oficina de Games
Educação,,Oficina de desenvolvimento de Games - Turma 02,Oficina,11/04/2025,Locomotiva Hub,São Luís,Público Geral,11,Oficina de Games
Educação,,Oficina de Games,Oficina,28/04/2025,Locomotiva Hub,São Luís,Público Geral,13,Oficina de Games
Educação,,Oficina de Modelagem e Impressão 3D,Oficina,07/05/2025,Centro Educa Mais Cidade de São José de Ribamar,São José de Ribamar,Estudantes,30,Oficina de Impressão 3D
Educação,,Oficina de Modelagem e Impressão 3D - Ifma Monte Mastelo - Quimica - realizado no locomotiva hub,Oficina,08/05/2025,Locomotiva Hub,São Luís,Público Geral,14,Oficina de Impressão 3D
Educação,,Formação de Professores do municipio,Oficina,12/05/2025,Agrobalsas 2025,Balsas,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Formação de Professores do municipio,Oficina,13/05/2025,Agrobalsas 2025,Balsas,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Formação de Professores do municipio,Oficina,14/05/2025,Agrobalsas 2025,Balsas,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Formação de Professores do municipio,Oficina,15/05/2025,Agrobalsas 2025,Balsas,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,25/05/2025,Escola Integral Negro Cosme,São Luís,Estudantes,16,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Games,Oficina,25/05/2025,Escola Integral Negro Cosme,São Luís,Estudantes,24,Oficina de Games
Educação,,Oficina de impressão 3d,Oficina,30/05/2025,Locomotiva Hub,São Luís,Público Geral,10,Oficina de Impressão 3D
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,16/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,7,Oficina de Games
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,16/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,12,Oficina de Games
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,17/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,6,Oficina de Games
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,17/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,10,Oficina de Games
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,18/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,12,Oficina de Games
Educação,,Minicurso de desenvolvimento de jogos,Minicurso,18/06/2025,Centro de convivência das vilas São josé de ribamar,São José de Ribamar,Estudantes,14,Oficina de Games
Educação,,Oficina de Robótica Básica,Oficina,18/06/2025,Liceu Maranhense,São Luís,Estudantes,15,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,23/06/2025,UEB Pedro Marcosini Bertol,São Luís,Estudantes,15,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,23/06/2025,UEB Pedro Marcosini Bertol,São Luís,Estudantes,17,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de criação de jogos,Oficina,24/06/2025,UEB Pedro Marcosini Bertol,São Luís,Estudantes,20,Oficina de Games
Educação,,Oficina de criação de jogos,Oficina,24/06/2025,UEB Pedro Marcosini Bertol,São Luís,Estudantes,14,Oficina de Games
Educação,,Oficina Robótica maker São joão - Robôi,Oficina,27/06/2025,Locomotiva Hub,São Luís,Público Geral,10,Robótica Maker
Educação,,"Ofiinca de Robotica educacional para alunos da rede publica.
45 participantes, sendo 39 alunos (25 pela manhã e 14 pela tarde) e 6 professores da rede pública.
",Oficina,22/07/2025,Santa Luzia,Santa Luzia,Comunidade Acadêmica,45,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de edição de vídeo com o canva ,Oficina,07/08/2025,FETAEMA,São Luís,Estudantes,80,Criação de Vídeos com Canva
Educação,,Oficina Robótica Básica/Avançada para Alunos da Rede Estadual ,Oficina,11/08/2025,Ueb Rosalia freire,São Luís,Estudantes,25,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina Robótica Básica/Avançada para Alunos da Rede Estadual ,Oficina,13/08/2025,Ueb Rosalia freire,São Luís,Estudantes,25,Oficina de Robótica (Básica e/ou Avançado
Educação,,Faz Teu nome,Oficina,21/08/2025,Multicenter Sebrae,São Luís,Público Geral,12,Oficina de Games
Educação,,Faz Teu nome,Oficina,21/08/2025,Multicenter Sebrae,São Luís,Público Geral,24,Oficina de Robótica (Básica e/ou Avançado
Educação,,Faz Teu nome,Oficina,22/08/2025,Multicenter Sebrae,São Luís,Público Geral,7,Oficina de Impressão 3D
Educação,,Mobiliza - Locomotiva hub,Oficina,09/09/2025,Locomotiva HUB,São Luís,Público Geral,6,Robótica Maker
Educação,,Mobiliza - Locomotiva hub,Oficina,10/09/2025,Locomotiva HUB,São Luís,Público Geral,5,Oficina de Games
Educação,,Mobiliza - Locomotiva hub,Oficina,12/09/2025,Locomotiva HUB,São Luís,Público Geral,13,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,13/09/2025,Estação Tech João de Deus,São Luís,Estudantes,13,Oficina de Games
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,15/09/2025,Santa Luzia,Santa Luzia,Professores,,Oficina de Robótica (Básica e/ou Avançado
Educação,,Ofiinca de Robotica educacional para professores,Oficina,15/09/2025,Santa Luzia,Santa Luzia,Professores,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de IA Generativa,Oficina,16/09/2025,Santa Luzia,Santa Luzia,Professores,,Oficina de IA Generativa
Educação,,Oficina de impressão 3D para professores,Oficina,16/09/2025,Santa Luzia,Santa Luzia,Professores,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,17/09/2025,Santa Luzia,Santa Luzia,Estudantes,,Oficina de Robótica (Básica e/ou Avançado
Educação,,Ofiinca de Robotica basica e avançada para alunos da rede publica. 6 alunos pela manhã e os mesmos retornaram pela tarde,Oficina,17/09/2025,Santa Luzia,Santa Luzia,Estudantes,6,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,19/09/2025,IEMA Barjonas Lobão,São Luís,Estudantes,13,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de IA Generativa,Oficina,20/09/2025,Escola Municipal Iguaiba,São Luís,Estudantes,10,Oficina de IA Generativa
Educação,,Oficina de Impressão 3D,Oficina,22/09/2025,IEMA pleno Jardim América,São Luís,Estudantes,23,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,22/09/2025,IEMA pleno Jardim América,São Luís,Estudantes,21,Oficina de Games
Educação,,Oficina de Robotica Básica para a população,Oficina,22/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,32,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Informatica Básica para a população,Oficina,23/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,45,Oficina de Informática Básica
Educação,,Oficina de Impressão 3D,Oficina,25/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,25/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Modelagem e Impressão 3D para a população,Oficina,24/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,45,Oficina de Canva
Educação,,Oficina de Modelagem e Impressão 3D para a população,Oficina,25/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,48,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,26/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,32,Oficina de Games
Educação,,Oficina de Games,Oficina,26/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Games
Educação,,Oficina de Impressão 3D,Oficina,30/09/2025,Moropóia | CE SÃO JOSÉ DE RIBAMAR,São José de Ribamar,Estudantes,25,Oficina de Impressão 3D
Educação,,Oficina de IA Generativa,Oficina,01/10/2025,Anjo da Guarda | IEMA TAMANCÃO,São Luís,Professores,20,Oficina de IA Generativa
Educação,,Oficina de IA Generativa,Oficina,01/10/2025,B. Fatima | IEMA Gonçalves Dias,São Luís,Professores,36,Oficina de IA Generativa
Educação,,Oficina de IA Generativa,Oficina,03/10/2025,FORQUILHA | CE ESTADO DE MATO GROSSO,São Luís,Professores,20,Oficina de IA Generativa
Educação,,Criança Engenharia,Oficina,10/10/2025,UEMA,São Luís,Estudantes,60,Robótica Maker
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,21/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,36,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,22/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,70,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,23/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,36,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,24/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,24,Robótica Lego
Educação,,Ideathon e Oficinas Colinas,Oficina,30/10/2025,CE João Pessoa - Colinas,Colinas,Estudantes,30,Oficina de Impressão 3D
Educação,,Ideathon e Oficinas Colinas,Oficina,31/10/2025,IEMA Colinas,Colinas,Estudantes,60,Oficina de Impressão 3D
Educação,,Oficina de Canva,Oficina,10/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,25,Oficina de Canva
Educação,,Oficina de Impressão 3D,Oficina,11/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,26,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,13/11/2025,UEB Iguaiba,Paço do Lumiar,Estudantes,21,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Impressão 3D,Oficina,18/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,37,Oficina de Impressão 3D
Educação,,Oficina de Impressão 3D,Oficina,19/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,27/11/2025,Centro Educa Mais João Batista de Carvalho,Santa Rita,Estudantes,120,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Games,Oficina,28/11/2025,CE Luiz Alves Ferreira,São Luís,Estudantes,30,Oficina de Games